permalink	city	lat	long	created_at	Projet	puissance	color	power
Stegenwaldhauser Stra_e  1	Selbitz-Sellanger Germany	50.3245	11.785	30/10/15	fastE	150 kW	blue	150
Sereetzer Feld 1Famila	Sereetz Germany	53.9269	10.7226	27/12/16	fastE	150 kW	blue	150
Hansestra_e  3	Sittensen Germany	53.2936	9.50558	09/03/17	fastE	150 kW	blue	150
Wormser Landstra_e 94	Speyer Germany	49.3311	8.43017	25/11/16	fastE	150 kW	blue	150
Eythstra_e 16a	Sulz-V_hringen Germany	48.3433	8.66328	17/02/17	fastE	150 kW	blue	150
Wampener 1	Thiersheim Germany	50.074	12.0987	30/06/16	fastE	150 kW	blue	150
Gablonzer Str. 1	Trappenkamp Germany	54.0431	10.2137	08/03/17	fastE	150 kW	blue	150
Rue des Boussines 35	Vaux-Chavanne Belgium	50.3063	5.71229	23/12/16	fastE	150 kW	blue	150
Schaarbeeklei 199	Vilvoorde Belgium	50.9191	4.42605	17/05/16	fastE	150 kW	blue	150
Auf dem Stein 1	Waldlaubersheim Germany	49.9241	7.82538	08/06/16	fastE	150 kW	blue	150
Klaus-Conrad-Stra_e 2A	Wernberg-K_blitz Germany	49.5322	12.1353	03/11/16	fastE	150 kW	blue	150
Am Gewerbepark  2A	Windischeschenbach Germany	49.8045	12.1842	13/04/17	fastE	150 kW	blue	150
Autolei 311	Wommelgem Belgium	51.2122	4.49299	17/12/15	fastE	150 kW	blue	150
Theodor-Sanne-Stra_e 1, 83233 Bernau am Chiemsee	Germany	47.81409	 12.36667	31/12/18	fastE	150 kW	blue	150
Kreuzackerstra_e 1, 85232 Bergkirchen	Germany	48.23869	 11.35431	31/12/18	fastE	150 kW	blue	150
Parkring 6, 85748 Garching bei Mônchen	Germany	48.251704	11.635171	31/12/18	fastE	150 kW	blue	150
Fraunhoferstra_e 3, 93092 Barbing	Germany	48.995420	12.234580	31/12/18	fastE	150 kW	blue	150
Schwarzenbrucker Str., 90537 Feucht	Germany	49.365007	11.206390	31/12/18	fastE	150 kW	blue	150
kekekek	Germany	48.687637	9.205576	31/12/18	fastE	150 kW	blue	150
Europaplatz, 64646 Heppenheim (Bergstra_e)	Germany	49.64276	 8.62379	31/12/18	fastE	150 kW	blue	150
Saal_ckerstra_e 2b, 63801 Kleinostheim	Germany	49.99475	 9.07088	31/12/18	fastE	150 kW	blue	150
Thea-Rasche-Stra_e, 60549 Frankfurt am Main	Germany	50.055	 8.58737	31/12/18	fastE	150 kW	blue	150
Bôhler H_he , 57258 Freudenberg	Germany	50.91296	 7.90986	31/12/18	fastE	150 kW	blue	150
Westerwaldstra_e 23, 56587 Oberhonnefeld-Gierend	Germany	50.562123	7.526529	31/12/18	fastE	150 kW	blue	150
Alte Walz, 46047 Oberhausen	Germany	51.489084	6.871428	31/12/18	fastE	150 kW	blue	150
Loevesteinse Randweg 200, 1118 EL Schiphol	The Netherlands	52.321116	4.792291	31/12/18	fastE	150 kW	blue	150
Waterliniedok 1, 3433 NV Nieuwegein	The Netherlands	52.011737	5.123569	31/12/18	fastE	150 kW	blue	150
Krommeweg 1, 2988 CB Ridderkerk	The Netherlands	51.867097	4.557274	31/12/18	fastE	150 kW	blue	150
Impuls 2, 6921 RK Duiven	The Netherlands	51.959288	6.021859	31/12/18	fastE	150 kW	blue	150
Aalsterweg 322, 5644 RL Eindhoven	The Netherlands	51.406624	5.479520	31/12/18	fastE	150 kW	blue	150
Luitenant Lippenslaan 66, 2140 Borgerhout	Belgium	51.208954	4.446659	31/12/18	fastE	150 kW	blue	150
Ottergemsesteenweg Zuid 808, 9000 Gent	Belgium	51.015576	3.736325	31/12/18	fastE	150 kW	blue	150
Autosnelweg Brussel/Parijs, 1601 Ruisbroek	Belgium	50.779375	4.299628	31/12/18	fastE	150 kW	blue	150
Rue d'Awans 105A, 4460 Gr_ce-Hollogne	Belgium	50.651283	5.474816	31/12/18	fastE	150 kW	blue	150
Wienerstra_e 131-133, 2345 Brunn/Gebirge	Austria	48.112875	16.303014	31/12/18	fastE	150 kW	blue	150
Anton-Hermann-Stra_e 1, 8073 Feldkirchen bei Graz	Austria	47.008541	15.439832	31/12/18	fastE	150 kW	blue	150
Warte/See 28, 5311 Innerschwand am Mondsee	Austria	47.836931	13.395302	31/12/18	fastE	150 kW	blue	150
Rasthausstra_e 3, 4300 St. Valentin	Austria	48.195914	14.527537	31/12/18	fastE	150 kW	blue	150
